cluster_id,contour_id,point_index,x,y
0,12,38,79,6
0,12,39,80,7
0,12,40,81,7
0,12,41,83,9
0,12,42,84,9
0,12,43,85,10
0,12,44,85,12
0,12,45,83,14
0,12,46,77,14
0,12,47,72,11
0,12,48,63,11
0,12,49,62,12
0,12,50,61,12
0,12,51,58,15
0,12,52,55,16
0,12,53,53,18
0,12,54,55,21
1,0,0,649,768
1,0,1,638,760
1,0,2,611,779
1,0,3,577,786
1,0,4,518,787
1,0,5,479,797
1,0,6,431,831
1,0,7,401,869
1,0,8,396,887
1,0,9,390,884
1,0,10,361,904
1,0,11,293,907
1,0,12,280,913
1,0,13,242,959
1,0,14,230,986
1,0,15,208,1013
1,0,16,212,1011
1,0,17,192,1047
1,0,18,199,1052
1,0,19,195,1057
1,0,20,185,1054
1,0,21,178,1070
1,0,22,166,1080
1,0,23,102,1101
1,0,24,0,1160
1,0,25,0,1219
1,0,26,9,1222
1,0,27,38,1205
1,0,28,47,1208
1,0,29,257,1087
1,0,30,310,1048
1,0,31,347,978
1,0,32,395,940
1,0,33,401,929
1,0,34,409,933
1,0,35,466,912
1,0,36,518,885
1,0,37,586,831
1,0,38,591,821
1,0,39,648,781
1,1,0,2093,753
1,1,1,1922,771
1,1,2,1720,845
1,1,3,1498,905
1,1,4,1410,953
1,1,5,1225,1087
1,1,6,1154,1120
1,1,7,1150,1137
1,1,8,1134,1132
1,1,9,1115,1154
1,1,10,1042,1191
1,1,11,1021,1216
1,1,12,685,1455
1,1,13,883,1455
1,1,14,1032,1386
1,1,15,1160,1282
1,1,16,1246,1229
1,1,17,1257,1233
1,1,18,1326,1199
1,1,19,1385,1144
1,1,20,1554,1042
1,1,21,1567,1023
1,1,22,1560,1014
1,1,23,1570,1011
1,1,24,1567,969
1,1,25,1587,951
1,1,26,1716,924
1,1,27,1886,838
1,1,28,1982,807
1,1,29,2090,832
1,2,0,2042,0
1,2,1,1658,0
1,2,2,1277,318
1,2,3,975,515
1,2,4,929,501
1,2,5,869,543
1,2,6,811,669
1,2,7,636,705
1,2,8,659,770
1,2,9,757,725
1,2,10,904,617
1,2,11,1066,559
1,2,12,1337,328
1,2,13,1430,282
1,2,14,1528,272
1,2,15,1586,323
1,2,16,1590,366
1,2,17,1542,450
1,2,18,1379,608
1,2,19,1048,804
